time, gyro_x, gyro_y, gyro_z, accel_x, accel_y, accel_z
[0:00:00], 8, 136, -4, 73, 3193, 16426
[0:00:00.100000], -10, 158, -13, 124, 2895, 16338
[0:00:00.200000], 5, 146, 9, 37, 3069, 16403
[0:00:00.300000], -10, 141, -10, 247, 3156, 16339
[0:00:00.400000], 7, 135, 13, 209, 2982, 16394
[0:00:00.500000], 21, 136, -3, 584, 3123, 16335
[0:00:00.600000], 9, 164, -9, 417, 3187, 16456
[0:00:00.700000], 22, 162, 5, 586, 2844, 16285
[0:00:00.800000], 13, 142, -7, 721, 2944, 16264
[0:00:00.900000], 0, 152, 19, 774, 2865, 16355
[0:00:01], 23, 142, 15, 815, 3051, 16252
[0:00:01.100000], 6, 134, 14, 779, 2913, 16376
[0:00:01.200000], 12, 158, 19, 1082, 3179, 16249
[0:00:01.300000], 22, 138, 22, 1150, 3027, 16360
[0:00:01.400000], 10, 152, 2, 1280, 2908, 16390
[0:00:01.500000], 14, 147, 11, 1261, 2805, 16255
[0:00:01.600000], 35, 143, 6, 1050, 3044, 16286
[0:00:01.700000], 27, 157, -2, 1262, 2938, 16246
[0:00:01.800000], 28, 152, 2, 1354, 3002, 16440
[0:00:01.900000], 38, 133, 18, 1260, 2860, 16246
[0:00:02], 21, 134, 12, 1573, 2626, 16496
[0:00:02.100000], 44, 152, 0, 1350, 2772, 16429
[0:00:02.200000], 43, 152, 0, 1377, 2720, 16266
[0:00:02.300000], 22, 149, 22, 1932, 3064, 16400
[0:00:02.400000], 47, 138, 2, 1683, 2958, 16394
[0:00:02.500000], 43, 155, 10, 1996, 2733, 16432
[0:00:02.600000], 26, 137, 0, 2121, 2635, 16289
[0:00:02.700000], 26, 151, 2, 1886, 2812, 16245
[0:00:02.800000], 41, 157, 2, 2032, 2651, 16459
[0:00:02.900000], 51, 144, 12, 2015, 2804, 16304
[0:00:03], 47, 139, 14, 2365, 2786, 16519
[0:00:03.100000], 61, 138, 3, 2462, 2556, 16425
[0:00:03.200000], 40, 151, 19, 2105, 2433, 16455
[0:00:03.300000], 59, 157, 32, 2592, 2831, 16269
[0:00:03.400000], 61, 140, 30, 2304, 2740, 16311
[0:00:03.500000], 63, 142, 21, 2501, 2491, 16401
[0:00:03.600000], 38, 130, 11, 2633, 2643, 16325
[0:00:03.700000], 47, 142, 29, 2851, 2305, 16253
[0:00:03.800000], 54, 137, 11, 2609, 2531, 16316
[0:00:03.900000], 55, 138, 33, 2756, 2678, 16284
[0:00:04], 57, 151, 27, 2981, 2471, 16455
[0:00:04.100000], 61, 134, 17, 2669, 2373, 16385
[0:00:04.200000], 75, 132, 28, 2995, 2282, 16311
[0:00:04.300000], 62, 141, 19, 2896, 2286, 16247
[0:00:04.400000], 57, 133, 19, 2923, 2570, 16248
[0:00:04.500000], 76, 152, 23, 3144, 2524, 16477
[0:00:04.600000], 56, 132, 17, 3335, 2469, 16371
[0:00:04.700000], 76, 150, 15, 3219, 2256, 16270
[0:00:04.800000], 71, 130, 14, 3544, 2449, 16297
[0:00:04.900000], 74, 151, 25, 3350, 2264, 16318
[0:00:05], 86, 134, 41, 3490, 2019, 16433
[0:00:05.100000], 66, 153, 30, 3445, 2007, 16514
[0:00:05.200000], 77, 141, 41, 3688, 2309, 16473
[0:00:05.300000], 63, 153, 31, 3795, 2284, 16282
[0:00:05.400000], 69, 133, 32, 3723, 1930, 16523
[0:00:05.500000], 87, 140, 30, 3530, 1939, 16420
[0:00:05.600000], 91, 136, 27, 3915, 2135, 16488
[0:00:05.700000], 84, 133, 45, 3634, 1777, 16340
[0:00:05.800000], 82, 133, 29, 3645, 1928, 16397
[0:00:05.900000], 74, 125, 34, 3637, 2086, 16249
[0:00:06], 76, 141, 40, 3770, 1909, 16272
[0:00:06.100000], 88, 145, 30, 3846, 1904, 16331
[0:00:06.200000], 78, 136, 39, 4020, 1752, 16255
[0:00:06.300000], 94, 126, 22, 4129, 1654, 16255
[0:00:06.400000], 104, 124, 38, 4063, 1480, 16489
[0:00:06.500000], 80, 129, 37, 4037, 1694, 16363
[0:00:06.600000], 83, 142, 33, 4396, 1744, 16500
[0:00:06.700000], 98, 116, 47, 4081, 1520, 16246
[0:00:06.800000], 99, 132, 48, 4301, 1324, 16367
[0:00:06.900000], 91, 144, 42, 4282, 1648, 16251
[0:00:07], 104, 127, 36, 4560, 1513, 16354
[0:00:07.100000], 108, 114, 44, 4575, 1423, 16314
[0:00:07.200000], 100, 126, 48, 4496, 1214, 16402
[0:00:07.300000], 96, 143, 52, 4601, 1613, 16303
[0:00:07.400000], 102, 141, 49, 4582, 1226, 16385
[0:00:07.500000], 94, 118, 49, 4492, 1505, 16354
[0:00:07.600000], 106, 135, 32, 4412, 1312, 16301
[0:00:07.700000], 118, 131, 30, 4566, 1186, 16350
[0:00:07.800000], 100, 114, 31, 4818, 1090, 16309
[0:00:07.900000], 124, 129, 38, 4434, 956, 16425
[0:00:08], 111, 138, 47, 4576, 1062, 16339
[0:00:08.100000], 122, 111, 40, 4881, 1244, 16255
[0:00:08.200000], 100, 107, 32, 4944, 889, 16454
[0:00:08.300000], 124, 113, 35, 4868, 837, 16457
[0:00:08.400000], 124, 107, 35, 4691, 871, 16405
[0:00:08.500000], 106, 113, 44, 4609, 830, 16359
[0:00:08.600000], 133, 106, 60, 4949, 819, 16312
[0:00:08.700000], 125, 107, 44, 4899, 780, 16328
[0:00:08.800000], 134, 118, 38, 4763, 831, 16471
